source,destination
MGECUSVNADMIN01Static-UTIL,Admin_UTIL
MGECUSVNADMIN01Static-MGE,Admin_MGE
MGECUSVNADMIN01Static-DMZ,Admin_DMZ
MGECUSVNPRODSQL01Static,ProdSQL
MGECUSVNPRODSQL01Dynamic,ProdSQL
MGECUSVNPRODWEB01Static,ProdWeb
MGECUSVNPRODWEB01Dynamic,ProdWeb
MGECUSVNTESTSQL01Static,TestSQL
MGECUSVNTESTSQL01Dynamic,TestSQL
MGECUSVNTESTWEB01Static,TestWeb
MGECUSVNTESTWEB01Dynamic,TestWeb
[*storageAccountName*],mgecusstortestarm01
[*subnetName*],TestWeb
gspstore01,mgecusstortestarm01
osstoreADFS01,mgecusstortestarm01
osstoreADFS02,mgecusstortestarm01
osstoreDC01,mgecusstortestarm01
datastoreADFS01,mgecusstortestarm01
datastoreADFS02,mgecusstortestarm01
datastoreDC01,mgecusstortestarm01
osstoreAD-RODC1,mgecusstorutilarm01
osstoreDMZ-RODC1,mgecusstorutilarm01
osstoreMONUTIL01,mgecusstorutilarm01
osstorePRDSQL01,mgecusstorprodarm02
osstorePRDSQL02,mgecusstorprodarm02
osstorePRDSQLFSW01,mgecusstorprodarm02
osstorePRDWEB01,mgecusstorprodarm01
osstorePRDWEB02,mgecusstorprodarm01
osstoreTSTSQL01,mgecusstortestarm02
osstoreTSTWEB01,mgecusstortestarm01
osstoreTSTWEB02,mgecusstortestarm01
datastoreAD-RODC1,mgecusstorutilarm01
datastoreDMZ-RODC1,mgecusstorutilarm01
datastoreMONUTIL01,mgecusstorutilarm01
datastorePRDSQL01,mgecusstorprodarm02
datastorePRDSQL02,mgecusstorprodarm02
datastorePRDSQLFSW01,mgecusstorprodarm02
datastorePRDWEB01,mgecusstorprodarm01
datastorePRDWEB02,mgecusstorprodarm01
datastoreTSTSQL01,mgecusstortestarm02
datastoreTSTWEB01,mgecusstortestarm01
datastoreTSTWEB02,mgecusstortestarm01
